Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1-Score,Train Time (s)
Decision Tree,0.84625,0.8854850474106492,0.9316960859554874,0.9080029917726253,0.7410857100035918,0.916709232385261,0.74
XGBoost,0.845,0.8830791575889615,0.9332310053722179,0.9074626865671642,0.7495419790124318,0.9158397060366277,5.46
Random Forest,0.84375,0.8779612347451543,0.9386032233307752,0.9072700296735905,0.7311746268001064,0.9145308848267272,11.91
Logistic Regression,0.844375,0.8829941860465116,0.9324635456638527,0.9070548712206047,0.7439139411510862,0.9172614477861651,3.37
